,Titulo,Autor,NotaMedia,Rango,NumVotos,NumCriticas,Genero,Editorial,AñoEdicion,Resumen
88,LA CHICA QUE SOÑABA CON UNA CERILLA Y UN BIDÓN DE GASOLINA (MILLENNIUM II),"LARSSON, STIEG","7,41",Muy bueno,2.657,139,"Novela negra, intriga, terror",DESTINO,2008,"Lisbeth Salander se ha tomado un tiempo: necesita apartarse del foco de atención y salir de Estocolmo. Trata de seguir una férrea disciplina y no contestar a las llamadas y mensajes de un Mikael que no entiende por qué ha desaparecido de su vida sin dar ningún tipo de explicación. Las heridas del am...
										
									"
89,COMO AGUA PARA CHOCOLATE,"ESQUIVEL, LAURA","7,33",Muy bueno,1.615,99,"Romántica, erótica",DEBOLSILLO,2016,"No siempre tenemos a mano los ingredientes de la felicidad. Tita lo había aprendido desde pequeña, cuando crecía en la cocina con Nacha y se le negaba toda posibilidad de vida propia desde su nacimiento. Pero lo que también aprendió Tita es que los ingredientes no son lo más importante para cocinar...
										
									"
90,LA REINA EN EL PALACIO DE LAS CORRIENTES DE AIRE (MILLENNIUM III),"LARSSON, STIEG","7,32",Muy bueno,2.166,101,"Novela negra, intriga, terror",DESTINO,2009,"Tercera y esperada entrega de la saga Millennium. Los lectores que llegaron con el corazón en un puño al final de La chica que soñaba con una cerilla y un bidón de gasolina quizás prefieran no seguir leyendo estas líneas y descubrir por sí mismos cómo sigue la serie y, sobre todo, qué le sucede a Li...
										
									"
91,SINSAJO. Los juegos del hambre 3,"COLLINS, SUZANNE","7,32",Muy bueno,1.741,102,Infantil y juvenil,MOLINO,2010,"Katniss Everdeen, ha sobrevivido de nuevo a LOS JUEGOS, aunque no queda nada de su hogar. Gale ha escapado. Su familia está a salvo. El Capitolio ha capturado a Peeta. El Distrito 13 existe de verdad. Hay rebeldes. Hay nuevos líderes. Están en plena revolución. El plan de rescate para sacar a Katnis...
										
									"
92,EL SEÑOR DE LAS MOSCAS,"GOLDING, WILLIAM","7,29",Muy bueno,1.408,79,Narrativa,ALIANZA,2006,"Premio Nobel de Literatura 1983. Fábula moral acerca de la condición humana, El señor de las moscas es además un prodigioso relato literario susceptible de lecturas diversas y aun opuestas. Si para unos la parábola que William Golding estructura en torno a la situación límite de una treintena de muc...
										
									"
93,LA CATEDRAL DEL MAR,"FALCONES, ILDEFONSO","7,27",Muy bueno,3.086,274,Histórica y aventuras,GRIJALBO,2006,"La Barcelona medieval en tiempos de la construcción del templo de Santa María del Mar conforma el escenario de esta soberbia recreación histórica repleta de intriga, violencia y pasión, en un tiempo convulsionado por las rebeliones contra las injusticias y feudales, el antijudaísmo, los conflictos d...
										
									"
94,EL VIEJO Y EL MAR,"HEMINGWAY, ERNEST","7,27",Muy bueno,1.376,109,Literatura contemporánea,DEBOLSILLO,2003,"Escrito por encargo de la revista Life, y más tarde llevada al cine con un magnífico Spencer Tracy, que encarnaba a este viejo pescador falto de suerte, que, como última carta del destino, se juega a vida y muerte en alta mar. El hombre enfrentado a su límite, la tragedia esencial de la obra y la vi...
										
									"
95,MARINA,"RUIZ ZAFÓN, CARLOS","7,25",Muy bueno,1.278,109,Narrativa,PLANETA,2007,"Marina nos desvela el secreto del personaje Oscar Drai, que tras años de huir de su gran aventura de joven, decide volver a su ciudad natal Barcelona para contarnos una historia de amor que nunca dejará de atormentarle. La historia transcurre en un corto espacio de tiempo, para ser más exactos de fi...
										
									"
96,EL CURIOSO INCIDENTE DEL PERRO A MEDIANOCHE,"HADDON, MARK","7,21",Muy bueno,1.282,93,Narrativa,QUINTETO,2007,"El curioso incidente del perro a medianoche es una novela que se parece a ninguna otra. Elegiada con entusiaso por autores consagrados como Oliver Sacks e Ian McEwan, ha merecido la aprobación masiva de los lectores en todos los países donde se ha publicado, además de galardones como el Premio Whtib...
										
									"
97,EL DIARIO DE ANA FRANK,"FRANK, ANA","7,19",Muy bueno,2.195,109,"Biografías, Memorias",DEBOLSILLO,2007,"Tras la invasión de Holanda, los Frank, comerciantes judíos alemanes emigrados a Amsterdam en 1933, se ocultaron de la Gestapo en una buhardilla anexa al edificio donde el padre de Ana tenía sus oficinas. Eran ocho personas y permanecieron recluidas desde junio de 1942 hasta agosto de 1944, fecha en...
										
									"
98,LAZARILLO DE TORMES,ANÓNIMO,"7,12",Muy bueno,1.885,42,Clásicos de la literatura,CÁTEDRA,2006,"En 1554 se publica una novela ciertamente singular. Su título es «Lazarillo de Tormes» y su autor permanece, hasta hoy, desconocido. Por primera vez, un personaje de baja extracción cuenta su vida en primera persona. No se trata de un adulto, de un caballero, de un príncipe, de un soldado o de un pa...
										
									"
